Function Name,Exclusive Samples %,Source Line Begin
"msImageProcessor::NewNonOptimizedFilter(float,float)",10.89,"4,586"
"msImageProcessor::NewNonOptimizedFilter(float,float)",5.19,"4,606"
"msImageProcessor::NewNonOptimizedFilter(float,float)",4.22,"4,610"
"msImageProcessor::NewNonOptimizedFilter(float,float)",3.55,"4,583"
"msImageProcessor::NewNonOptimizedFilter(float,float)",2.62,"4,588"
"msImageProcessor::NewNonOptimizedFilter(float,float)",2.5,"4,582"
"msImageProcessor::NewNonOptimizedFilter(float,float)",2.27,"4,604"
"msImageProcessor::NewNonOptimizedFilter(float,float)",1.98,"4,581"
"msImageProcessor::NewNonOptimizedFilter(float,float)",1.92,"4,584"
"msImageProcessor::NewNonOptimizedFilter(float,float)",1.49,"4,501"
"msImageProcessor::NewNonOptimizedFilter(float,float)",1.47,"4,579"
"msImageProcessor::NewNonOptimizedFilter(float,float)",1.43,"4,602"
"msImageProcessor::NewNonOptimizedFilter(float,float)",1.42,"4,605"
"msImageProcessor::NewNonOptimizedFilter(float,float)",1.22,"4,575"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.96,"4,589"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.94,"4,594"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.89,"4,597"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.82,"4,496"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.8,"4,590"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.79,"4,525"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.74,"4,607"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.72,"4,521"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.62,"4,498"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.61,"4,599"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.52,"4,616"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.51,"4,503"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.42,"4,517"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.38,"4,573"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.31,"4,519"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.28,"4,631"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.27,"4,520"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.26,"4,497"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.24,"4,490"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.22,"4,499"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.22,"4,598"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.18,"4,577"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.15,"4,504"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.15,"4,509"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.12,"4,513"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.1,"4,488"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.09,"4,505"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.09,"4,511"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.08,"4,368"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.08,"4,522"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.08,"4,531"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.05,"4,492"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.04,"4,512"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.04,"4,557"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.04,"4,564"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.04,"4,572"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.04,"4,596"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.03,"4,613"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.02,"4,556"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.02,"4,566"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.02,"4,630"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.02,"4,632"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.02,"4,636"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,365"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,431"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,473"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,479"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,487"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,530"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,543"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,552"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,571"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,615"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,640"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,641"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0.01,"4,645"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,406"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,407"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,409"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,430"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,433"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,434"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,436"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,471"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,472"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,481"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,514"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,528"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,542"
"msImageProcessor::NewNonOptimizedFilter(float,float)",0,"4,654"
msImageProcessor::ComputeEdgeStrengths(void),3.8,"2,624"
msImageProcessor::ComputeEdgeStrengths(void),3.74,"2,609"
msImageProcessor::ComputeEdgeStrengths(void),0.12,"2,608"
msImageProcessor::ComputeEdgeStrengths(void),0.1,"2,623"
msImageProcessor::ComputeEdgeStrengths(void),0.03,"2,710"
msImageProcessor::ComputeEdgeStrengths(void),0.01,"2,615"
msImageProcessor::ComputeEdgeStrengths(void),0.01,"2,616"
msImageProcessor::ComputeEdgeStrengths(void),0.01,"2,663"
msImageProcessor::ComputeEdgeStrengths(void),0.01,"2,676"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,590"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,597"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,598"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,604"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,607"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,622"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,630"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,632"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,637"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,638"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,662"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,667"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,668"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,669"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,680"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,684"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,690"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,715"
msImageProcessor::ComputeEdgeStrengths(void),0,"2,719"
msImageProcessor::BuildRAM(void),8.87,"2,171"
msImageProcessor::BuildRAM(void),8.64,"2,170"
msImageProcessor::BuildRAM(void),8.47,"2,206"
msImageProcessor::BuildRAM(void),8.4,"2,207"
msImageProcessor::BuildRAM(void),0.03,"2,138"
msImageProcessor::BuildRAM(void),0.02,"2,142"
msImageProcessor::BuildRAM(void),0.01,"2,123"
msImageProcessor::BuildRAM(void),0.01,"2,141"
msImageProcessor::BuildRAM(void),0.01,"2,143"
msImageProcessor::BuildRAM(void),0.01,"2,162"
msImageProcessor::BuildRAM(void),0.01,"2,202"
msImageProcessor::BuildRAM(void),0,"2,101"
msImageProcessor::BuildRAM(void),0,"2,121"
msImageProcessor::BuildRAM(void),0,"2,122"
msImageProcessor::BuildRAM(void),0,"2,149"
msImageProcessor::BuildRAM(void),0,"2,153"
msImageProcessor::BuildRAM(void),0,"2,154"
msImageProcessor::BuildRAM(void),0,"2,165"
msImageProcessor::BuildRAM(void),0,"2,176"
msImageProcessor::BuildRAM(void),0,"2,185"
msImageProcessor::BuildRAM(void),0,"2,189"
msImageProcessor::BuildRAM(void),0,"2,190"
msImageProcessor::BuildRAM(void),0,"2,198"
msImageProcessor::BuildRAM(void),0,"2,251"
msImageProcessor::BuildRAM(void),0,"2,270"
msImageProcessor::BuildRAM(void),0,"2,298"
msImageProcessor::BuildRAM(void),0,"2,299"
